,sort_up_to,pocket,auroc,model,seed
84,4,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
85,5,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
86,6,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
87,7,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
88,8,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
89,9,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
90,10,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
91,11,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
92,12,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
93,13,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
94,14,1BYJ_A_GE3_30,0.926605504587156,rdock,4
95,15,1BYJ_A_GE3_30,0.9187418086500655,rdock,4
96,16,1BYJ_A_GE3_30,0.9148099606815203,rdock,4
97,17,1BYJ_A_GE3_30,0.90956749672346,rdock,4
98,18,1BYJ_A_GE3_30,0.9069462647444299,rdock,4
99,19,1BYJ_A_GE3_30,0.9003931847968545,rdock,4
100,0,1BYJ_A_GE3_30,0.745740498034076,rdock,5
101,1,1BYJ_A_GE3_30,0.745740498034076,rdock,5
102,2,1BYJ_A_GE3_30,0.745740498034076,rdock,5
103,3,1BYJ_A_GE3_30,0.745740498034076,rdock,5
104,4,1BYJ_A_GE3_30,0.745740498034076,rdock,5
105,5,1BYJ_A_GE3_30,0.9790301441677588,rdock,5
106,6,1BYJ_A_GE3_30,0.9737876802096985,rdock,5
107,7,1BYJ_A_GE3_30,0.9659239842726082,rdock,5
108,8,1BYJ_A_GE3_30,0.9593709043250328,rdock,5
109,9,1BYJ_A_GE3_30,0.9528178243774574,rdock,5
110,10,1BYJ_A_GE3_30,0.9528178243774574,rdock,5
111,11,1BYJ_A_GE3_30,0.9475753604193972,rdock,5
112,12,1BYJ_A_GE3_30,0.9410222804718218,rdock,5
113,13,1BYJ_A_GE3_30,0.9331585845347313,rdock,5
114,14,1BYJ_A_GE3_30,0.926605504587156,rdock,5
115,15,1BYJ_A_GE3_30,0.9187418086500655,rdock,5
116,16,1BYJ_A_GE3_30,0.9161205766710354,rdock,5
117,17,1BYJ_A_GE3_30,0.9121887287024901,rdock,5
118,18,1BYJ_A_GE3_30,0.90956749672346,rdock,5
119,19,1BYJ_A_GE3_30,0.9003931847968545,rdock,5
120,0,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
121,1,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
122,2,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
123,3,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
124,4,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
125,5,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
126,6,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
127,7,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
128,8,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
129,9,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
130,10,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
131,11,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
132,12,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
133,13,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
134,14,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
135,15,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
136,16,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
137,17,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
138,18,1BYJ_A_GE3_30,0.047182175622542566,rdock,6
139,19,1BYJ_A_GE3_30,0.9003931847968545,rdock,6
140,0,1BYJ_A_GE3_30,0.9174311926605505,rdock,7
141,1,1BYJ_A_GE3_30,0.9174311926605505,rdock,7
142,2,1BYJ_A_GE3_30,0.9882044560943644,rdock,7
143,3,1BYJ_A_GE3_30,0.9855832241153342,rdock,7
144,4,1BYJ_A_GE3_30,0.9790301441677588,rdock,7
145,5,1BYJ_A_GE3_30,0.9737876802096985,rdock,7
146,6,1BYJ_A_GE3_30,0.963302752293578,rdock,7
147,7,1BYJ_A_GE3_30,0.9580602883355177,rdock,7
148,8,1BYJ_A_GE3_30,0.9541284403669725,rdock,7
149,9,1BYJ_A_GE3_30,0.9541284403669725,rdock,7
150,10,1BYJ_A_GE3_30,0.9501965923984272,rdock,7
151,11,1BYJ_A_GE3_30,0.9423328964613368,rdock,7
152,12,1BYJ_A_GE3_30,0.9344692005242464,rdock,7
153,13,1BYJ_A_GE3_30,0.9252948885976409,rdock,7
154,14,1BYJ_A_GE3_30,0.9213630406290957,rdock,7
155,15,1BYJ_A_GE3_30,0.9187418086500655,rdock,7
156,16,1BYJ_A_GE3_30,0.9134993446920052,rdock,7
157,17,1BYJ_A_GE3_30,0.9108781127129751,rdock,7
158,18,1BYJ_A_GE3_30,0.908256880733945,rdock,7
